id,color1,color2,color3,SA,Name,Thickness
0,000,100,255,00,Льда не наблюдается, - 
1,150,200,255,80, Льда не наблюдается ,  -  
2,240,210,250,81, Начальные виды льда ,  -  
3,255,100,255,82, Нилас склянка , < 10 см 
5,170,040,240,83, Молодой лед , 10-30 см 
6,135,060,215,84, Серый лед , 10-15 см 
7,220,080,235,85, Серо-белый лед , 15-30 см 
8,255,255,000,86, Однолетний лед , 30-200 см 
9,155,210,000,87, Тонкий однолетний лед , 30-70 см 
10,215,250,130,88, Тонкий однолетний лед первой стадии , 30-50 см 
11,175,250,000,89, Тонкий однолетний лед второй стадии , 50-70 cм 
12,000,200,020,91, Однолетний лед средней толщины , 70-120 cм 
13,000,120,000,93, Толстый однолетний лед , > 120 cм 
14,180,100,050,95, Старый лед ,   
15,255,120,010,96, Двухлетний лед , 180-280 см 
16,200,000,000,97, Многолетний лед , > 300 см 
18,210,210,210,99, Лед материкового происхождения ,  
