id,color1,color2,color3,CT,Name,Concentration
0,000,100,255,00,ќтсутствие льда,0
1,150,200,255,01,ќтдельные льдины,<1/10
2,140,255,160,10,–едкий лед (1/10 Ц 3/10),1/10
3,140,255,160,12,–едкий лед (1/10 Ц 3/10),1/10 Ц 2/10 
4,140,255,160,13,–едкий лед (1/10 Ц 3/10),1/10 Ц 3/10 
5,140,255,160,20,–едкий лед (1/10 Ц 3/10),2/10
6,140,255,160,23,–едкий лед (1/10 Ц 3/10),2/10 Ц 3/10 
7,140,255,160,30,–едкий лед (1/10 Ц 3/10),3/10
8,255,255,000,40,–азреженный лед(4/10 Ц 6/10),4/10
9,255,255,000,45,–азреженный лед(4/10 Ц 6/10),4/10 Ц 5/10 
10,255,255,000,46,–азреженный лед(4/10 Ц 6/10),4/10 Ц 6/10 
11,255,255,000,50,–азреженный лед(4/10 Ц 6/10),5/10
12,255,255,000,56,–азреженный лед(4/10 Ц 6/10),5/10 Ц 6/10 
13,255,255,000,60,–азреженный лед(4/10 Ц 6/10),6/10
14,255,125,007,70,—плоченный лед(7/10 Ц 8/10),7/10
15,255,125,007,78,—плоченный лед(7/10 Ц 8/10),7/10 Ц 8/10 
16,255,125,007,80,—плоченный лед(7/10 Ц 8/10),8/10
17,255,000,000,90,ќчень сплоченный лед(9/10 Ц 10/10),9/10
18,255,000,000,91,ќчень сплоченный лед(9/10 Ц 10/10),9/10 Ц 10/10 
19,255,000,000,92,ќчень сплоченный лед(9/10 Ц 10/10),10/10
20,255,255,255,99,Ќе определен,-
